Asia/Bangkok,Open,High,Low,Close,Volume
2026-07-24T16:27:00+07:00,4055.285,4055.465,4054.275,4054.715,20100
2026-07-24T16:28:00+07:00,4054.735,4054.935,4053.875,4054.305,18300
2026-07-24T16:29:00+07:00,4054.325,4054.495,4052.375,4052.715,21240
2026-07-24T16:30:00+07:00,4052.595,4053.155,4051.445,4052.285,22950
2026-07-24T16:31:00+07:00,4052.285,4052.845,4052.055,4052.255,19200
2026-07-24T16:32:00+07:00,4052.325,4053.335,4052.325,4052.925,16710
2026-07-24T16:33:00+07:00,4052.895,4053.985,4052.895,4053.875,22500
2026-07-24T16:34:00+07:00,4053.785,4054.345,4053.115,4053.685,17280
2026-07-24T16:35:00+07:00,4053.785,4054.285,4053.325,4053.415,16020
2026-07-24T16:36:00+07:00,4053.455,4054.525,4053.415,4053.875,10020
2026-07-24T16:37:00+07:00,4053.775,4054.605,4053.575,4054.515,15600
2026-07-24T16:38:00+07:00,4054.475,4054.945,4054.005,4054.355,16680
2026-07-24T16:39:00+07:00,4054.335,4054.845,4054.055,4054.785,13020
2026-07-24T16:40:00+07:00,4054.835,4054.995,4053.815,4054.505,18420
2026-07-24T16:41:00+07:00,4054.535,4055.155,4054.455,4055.115,11280
2026-07-24T16:42:00+07:00,4055.105,4056.225,4055.105,4055.635,16500
2026-07-24T16:43:00+07:00,4055.655,4055.735,4054.425,4054.425,14760
2026-07-24T16:44:00+07:00,4054.505,4055.815,4054.415,4055.565,15360
2026-07-24T16:45:00+07:00,4055.605,4056.035,4055.185,4055.365,18120
2026-07-24T16:46:00+07:00,4055.455,4055.545,4054.915,4055.045,12120
2026-07-24T16:47:00+07:00,4055.035,4055.705,4054.935,4055.335,16140
2026-07-24T16:48:00+07:00,4055.425,4055.495,4054.835,4055.115,12780
2026-07-24T16:49:00+07:00,4055.165,4055.615,4055.015,4055.055,13800
2026-07-24T16:50:00+07:00,4055.265,4055.435,4054.635,4054.735,16320
2026-07-24T16:51:00+07:00,4054.695,4054.975,4054.495,4054.745,11760
2026-07-24T16:52:00+07:00,4054.745,4056.985,4054.475,4056.975,16920
2026-07-24T16:53:00+07:00,4056.925,4058.205,4055.815,4058.055,22020
2026-07-24T16:54:00+07:00,4058.055,4058.165,4057.205,4058.065,17100
2026-07-24T16:55:00+07:00,4058.065,4058.665,4058.025,4058.515,19920
2026-07-24T16:56:00+07:00,4058.475,4059.135,4058.475,4059.045,12180
2026-07-24T16:57:00+07:00,4059.015,4059.035,4058.365,4058.855,9420
2026-07-24T16:58:00+07:00,4058.825,4059.365,4058.635,4059.275,10800
2026-07-24T16:59:00+07:00,4059.275,4059.655,4058.875,4059.655,13680
2026-07-24T17:00:00+07:00,4059.935,4060.095,4059.055,4059.345,15120
2026-07-24T17:01:00+07:00,4059.315,4059.435,4058.365,4059.075,14340
2026-07-24T17:02:00+07:00,4059.045,4059.965,4058.735,4059.365,13320
2026-07-24T17:03:00+07:00,4059.305,4060.135,4059.305,4059.905,8820
2026-07-24T17:04:00+07:00,4059.895,4061.405,4059.675,4059.695,12300
2026-07-24T17:05:00+07:00,4059.705,4060.015,4058.985,4059.685,12960
2026-07-24T17:06:00+07:00,4059.575,4059.975,4059.125,4059.355,15840
2026-07-24T17:07:00+07:00,4059.355,4059.405,4058.675,4058.875,13080
2026-07-24T17:08:00+07:00,4058.875,4059.765,4058.465,4059.325,12900
2026-07-24T17:09:00+07:00,4059.325,4060.295,4059.325,4060.135,10500
2026-07-24T17:10:00+07:00,4060.205,4060.395,4058.335,4058.835,11100
2026-07-24T17:11:00+07:00,4058.735,4059.315,4058.175,4059.065,13200
2026-07-24T17:12:00+07:00,4059.045,4059.225,4058.175,4058.175,14760
2026-07-24T17:13:00+07:00,4058.185,4058.845,4058.095,4058.095,7860
2026-07-24T17:14:00+07:00,4058.055,4058.675,4057.495,4057.925,10740
2026-07-24T17:15:00+07:00,4057.985,4058.895,4057.365,4058.895,11400
2026-07-24T17:16:00+07:00,4058.895,4059.675,4058.775,4059.355,9420
2026-07-24T17:17:00+07:00,4059.355,4061.175,4059.355,4060.425,11820
2026-07-24T17:18:00+07:00,4060.395,4061.715,4059.755,4060.165,16380
2026-07-24T17:19:00+07:00,4060.145,4060.255,4059.295,4059.415,10020
2026-07-24T17:20:00+07:00,4059.385,4059.615,4059.055,4059.615,12000
2026-07-24T17:21:00+07:00,4059.615,4059.775,4058.925,4059.095,8820
2026-07-24T17:22:00+07:00,4059.065,4060.465,4059.025,4060.455,10980
2026-07-24T17:23:00+07:00,4060.485,4061.055,4060.265,4060.745,11580
2026-07-24T17:24:00+07:00,4060.705,4060.965,4060.135,4060.135,7680
2026-07-24T17:25:00+07:00,4060.235,4060.235,4059.665,4059.725,13440
2026-07-24T17:26:00+07:00,4059.725,4061.425,4059.715,4060.515,11340
2026-07-24T17:27:00+07:00,4060.485,4063.385,4060.465,4063.115,15180
2026-07-24T17:28:00+07:00,4063.115,4063.545,4062.905,4063.135,16500
2026-07-24T17:29:00+07:00,4063.125,4063.425,4061.795,4061.795,12900
2026-07-24T17:30:00+07:00,4061.685,4063.565,4061.625,4063.565,11820
2026-07-24T17:31:00+07:00,4063.565,4063.715,4063.335,4063.465,9660
2026-07-24T17:32:00+07:00,4063.325,4063.325,4062.645,4063.195,8820
2026-07-24T17:33:00+07:00,4063.205,4063.745,4061.865,4062.125,10680
2026-07-24T17:34:00+07:00,4062.125,4062.145,4061.295,4061.495,12900
2026-07-24T17:35:00+07:00,4061.495,4061.605,4060.405,4061.125,13680
2026-07-24T17:36:00+07:00,4061.125,4061.285,4060.785,4061.035,8520
2026-07-24T17:37:00+07:00,4061.035,4061.525,4060.575,4061.295,12240
2026-07-24T17:38:00+07:00,4061.205,4061.305,4060.605,4060.705,9240
2026-07-24T17:39:00+07:00,4060.705,4060.815,4059.915,4059.915,9780
2026-07-24T17:40:00+07:00,4059.915,4059.915,4059.035,4059.295,12720
2026-07-24T17:41:00+07:00,4059.295,4059.635,4058.875,4059.335,10500
2026-07-24T17:42:00+07:00,4059.415,4059.605,4058.975,4059.045,13140
2026-07-24T17:43:00+07:00,4058.975,4059.245,4058.545,4058.885,12240
2026-07-24T17:44:00+07:00,4058.885,4058.965,4057.975,4058.225,10260
2026-07-24T17:45:00+07:00,4058.295,4058.995,4058.055,4058.805,10500
